time_local,grid_rain_mm,contrib_16007,contrib_16067,contrib_16025,rain_16007,rain_16067,rain_16025,-0.44082996,0.92895527,0.511874691
5/30/2013 12:00,10.29898256,0,0,10.29898256,0,0,1.016,0.520064686,,
5/30/2013 13:00,-9.282982561,-26.29622796,17.0132454,0,1.016,1.016,0,0.495935314,,
5/30/2013 14:00,12.33098256,-52.59245592,34.0264908,30.89694768,2.032,2.032,3.048,2.552064686,,
5/30/2013 15:00,-22.23222796,-131.4811398,68.0529816,41.19593024,5.08,4.064,4.064,3.616116761,,
5/30/2013 16:00,-7.389965122,-341.8509635,221.1721902,113.2888082,13.208,13.208,11.176,12.16787063,,
5/30/2013 17:00,8.664719722,-131.4811398,68.0529816,72.09287793,5.08,4.064,7.112,5.176310818,,
5/30/2013 18:00,10.77826284,-105.1849118,85.066227,30.89694768,4.064,5.08,3.048,4.487753869,,
5/30/2013 19:00,1.016,-26.29622796,17.0132454,10.29898256,1.016,1.016,1.016,1.016,,
5/30/2013 20:00,0,0,0,0,0,0,0,0,,
5/30/2013 21:00,0,0,0,0,0,0,0,0,,
5/30/2013 22:00,0,0,0,0,0,0,0,0,,
5/30/2013 23:00,0,0,0,0,0,0,0,0,,
5/31/2013 0:00,0,0,0,0,0,0,0,0,,
5/31/2013 1:00,0,0,0,0,0,0,0,0,,
5/31/2013 2:00,0,0,0,0,0,0,0,0,,
5/31/2013 3:00,0,0,0,0,0,0,0,0,,
5/31/2013 4:00,0,0,0,0,0,0,0,0,,
5/31/2013 5:00,0,0,0,0,0,0,0,0,,
5/31/2013 6:00,0,0,0,0,0,0,0,0,,
5/31/2013 7:00,0,0,0,0,0,0,0,0,,
5/31/2013 8:00,0,0,0,0,0,0,0,0,,
5/31/2013 9:00,0,0,0,0,0,0,0,0,,
5/31/2013 10:00,0,0,0,0,0,0,0,0,,
5/31/2013 11:00,5.717281237,-1735.551045,1071.83446,669.4338665,67.056,64.008,66.04,63.70447966,,
5/31/2013 12:00,68.98743848,-105.1849118,102.0794724,72.09287793,4.064,6.096,7.112,7.511831166,,
